Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
130,1240,134 (1),Sep 3,CIN,,STL,W9-1,CG,5,2,2,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,.310,.433,.526,.959,3,1.11,0.087,2.07,17.00,24.90,1B
131,1241,135,Sep 4,CIN,,STL,L2-5,CG,5,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.312,.435,.526,.960,3,.79,0.096,0.82,8.00,9.00,1B
132,1242,136,Sep 5,CIN,,NYM,L0-5,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.312,.435,.524,.960,3,.91,-0.010,0.07,5.00,6.00,1B
133,1243,137,Sep 6,CIN,,NYM,L3-5,CG,4,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.312,.434,.523,.957,3,1.71,-0.062,-0.42,5.00,6.50,1B
134,1244,138,Sep 7,CIN,,NYM,L3-6,CG,5,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.312,.434,.521,.954,3,1.22,-0.064,-0.60,5.00,6.00,1B
135,1245,139,Sep 8,CIN,@,PIT,L1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.309,.431,.516,.947,3,.55,-0.059,-0.59,0.00,0.00,1B
136,1246,140,Sep 9,CIN,@,PIT,W4-3,CG,4,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.313,.433,.518,.951,3,1.04,0.039,0.43,11.00,12.50,1B
137,1247,141,Sep 10,CIN,@,PIT,W8-7,CG,5,5,2,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.318,.436,.530,.966,3,.57,0.178,1.77,27.00,33.90,1B
138,1248,142,Sep 11,CIN,@,PIT,W8-0,GS-8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.315,.433,.525,.958,3,.24,-0.034,-1.67,0.00,0.00,1B
139,1249,143,Sep 12,CIN,,MIL,W3-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.315,.432,.523,.955,3,.46,-0.048,-0.92,3.00,3.00,1B
140,1250,144,Sep 13,CIN,,MIL,W6-4,CG,4,4,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.318,.434,.531,.965,3,.99,0.219,2.16,24.00,31.40,1B
141,1251,145,Sep 14,CIN,,MIL,L0-7,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.318,.433,.529,.961,3,.87,-0.075,-0.73,3.00,3.00,1B
142,1252,146,Sep 16,CIN,,PIT,L7-9,CG(10),5,5,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.318,.432,.527,.960,3,1.24,0.040,0.34,12.00,15.90,1B
143,1253,147,Sep 17 (1),CIN,,PIT,L4-10,CG,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.316,.430,.523,.954,3,.64,-0.013,-0.55,2.00,3.00,1B
144,1254,148,Sep 17 (2),CIN,,PIT,L3-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.313,.428,.519,.947,3,.57,-0.058,-0.61,0.00,0.00,1B
145,1255,149,Sep 18,CIN,,PIT,W7-4,CG,5,4,2,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,.319,.432,.531,.963,3,.63,0.147,2.56,29.00,36.90,1B
146,1256,150,Sep 19,CIN,@,CHC,L2-5,CG,4,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.321,.434,.531,.966,3,1.24,0.101,0.68,10.00,12.50,1B
