Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
29,1152,32,May 8,CIN,,MIL,L4-5,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.234,.284,.467,.752,5,.80,-0.080,-0.66,0.00,0.00,RF
30,1153,34 (1),May 11,CIN,,PIT,L4-5,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.243,.292,.495,.787,4,1.64,0.288,1.55,19.00,25.20,RF
31,1154,35,May 13,CIN,@,PHI,L2-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.237,.285,.482,.767,5,.96,-0.072,-0.55,0.00,0.00,RF
32,1155,36,May 14,CIN,@,PHI,L3-4,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,.239,.291,.479,.770,5,1.48,0.167,0.79,7.00,9.20,RF
33,1156,37,May 15,CIN,@,PHI,W9-4,CG,5,3,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.258,.318,.500,.818,5,.36,0.098,2.12,21.00,27.60,RF
34,1157,38,May 16,CIN,@,CLE,L6-15,GS-8,4,4,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,.266,.324,.500,.824,5,1.06,0.114,0.34,10.00,13.00,RF
35,1158,39,May 17,CIN,@,CLE,L1-13,GS-7,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.276,.331,.504,.835,5,.52,0.052,0.90,6.00,6.00,RF
36,1159,40,May 18,CIN,,CLE,L7-8,CG(12),5,4,3,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,.290,.347,.557,.904,5,1.12,0.277,2.79,35.00,46.60,RF
37,1160,41,May 19,CIN,,CLE,L2-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.281,.338,.541,.879,5,.48,-0.049,-0.66,0.00,0.00,RF
38,1161,42,May 20,CIN,,SEA,L3-8,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.273,.329,.525,.854,5,.61,-0.065,-0.82,0.00,0.00,RF
39,1162,44 (1),May 22,CIN,,SEA,L4-5,CG,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.270,.327,.518,.845,5,1.23,-0.095,-0.66,4.00,6.50,RF
40,1163,45,May 23,CIN,@,LAD,L0-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.264,.321,.507,.828,5,.74,-0.056,-0.41,0.00,0.00,RF
41,1164,46,May 24,CIN,@,LAD,L2-8,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.264,.319,.507,.826,4,.75,-0.041,-0.41,7.00,9.20,RF
42,1165,47,May 25,CIN,@,LAD,L1-3,CG,4,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.263,.317,.513,.831,5,1.45,-0.018,-0.33,10.00,12.50,RF
43,1166,48,May 27,CIN,@,MIL,L5-9,CG,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.256,.310,.500,.810,4,.72,-0.017,-0.26,2.00,3.20,RF
44,1167,49,May 28,CIN,@,MIL,W7-6,CG,5,5,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.261,.313,.497,.809,4,1.62,0.115,1.07,10.00,12.70,RF
45,1168,50,May 29,CIN,@,MIL,L4-5,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.262,.317,.512,.829,4,1.12,0.079,0.67,16.00,21.70,RF
46,1169,51,May 30,CIN,@,COL,W11-8,CG,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.260,.314,.509,.822,4,.73,-0.038,-0.71,7.00,9.20,RF
47,1170,52,May 31,CIN,@,COL,L4-17,CG,4,4,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,.272,.323,.549,.872,5,.46,0.006,1.65,29.00,37.20,RF
Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
48,1171,53,Jun 1,CIN,@,COL,W7-2,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.271,.321,.559,.881,5,.54,-0.036,0.21,14.00,18.70,RF
49,1172,54,Jun 2,CIN,@,COL,W11-4,CG,5,5,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,.275,.323,.571,.895,4,.60,0.171,1.90,19.00,25.20,RF
50,1173,55,Jun 3,CIN,,WSN,W7-2,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.269,.317,.559,.876,4,.54,-0.058,-1.48,0.00,0.00,RF
51,1174,56,Jun 4,CIN,,WSN,W6-3,CG,4,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.279,.325,.579,.904,4,1.67,0.160,1.43,22.00,27.90,RF
52,1175,57,Jun 5,CIN,,WSN,L9-10,CG,5,3,2,1,0,0,1,3,2,1,1,0,0,0,0,0,0,0,.280,.332,.591,.922,4,1.61,0.124,1.98,24.00,34.90,RF
53,1176,58,Jun 7,CIN,,STL,W7-6,GS-8,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.330,.584,.914,4,.92,0.074,-0.07,5.00,6.20,RF
54,1177,59,Jun 8,CIN,,STL,L7-12,GS-9,4,4,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.284,.333,.587,.920,4,1.30,0.001,0.22,10.00,12.50,RF
55,1178,60,Jun 9,CIN,,STL,L2-3,CG,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.278,.327,.576,.903,4,1.56,-0.114,-0.60,2.00,3.50,RF
56,1179,61,Jun 10,CIN,,OAK,W2-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.323,.567,.890,4,1.62,-0.119,-0.76,0.00,0.00,RF
57,1180,62,Jun 11,CIN,,OAK,W2-1,CG,4,2,1,1,0,0,1,2,2,0,1,0,0,0,0,0,1,0,.276,.330,.581,.911,4,.77,0.247,2.06,25.00,34.20,RF
58,1181,63,Jun 12,CIN,,OAK,L1-6,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.271,.325,.570,.895,4,.76,-0.105,-1.09,0.00,0.00,RF
59,1182,64,Jun 13,CIN,@,ATL,W9-8,CG,5,3,1,1,0,1,0,2,2,1,0,0,0,0,0,0,0,0,.272,.331,.576,.907,4,1.73,0.172,1.85,18.00,25.20,RF
60,1183,65,Jun 14,CIN,@,ATL,W3-1,CG,4,4,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.271,.329,.584,.913,4,.70,0.201,1.94,18.00,25.70,RF
61,1184,66,Jun 15,CIN,@,ATL,L8-9,CG(13),6,6,2,2,1,0,0,2,0,0,2,0,0,0,0,0,0,0,.273,.329,.581,.911,4,1.83,0.043,1.34,16.00,22.40,RF CF
62,1185,68 (1),Jun 17,CIN,@,HOU,W4-2,CG(11),5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.272,.327,.578,.904,4,1.27,-0.143,-1.03,5.00,6.00,RF
63,1186,69,Jun 18,CIN,@,HOU,L4-5,CG(11),5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.274,.328,.574,.902,4,1.27,-0.036,-0.23,6.00,6.00,RF
64,1187,70,Jun 19,CIN,@,HOU,L0-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.274,.327,.568,.895,4,.55,-0.030,-0.56,3.00,3.00,DH
65,1188,71,Jun 21,CIN,@,TEX,W8-2,CG,4,4,1,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,.282,.333,.588,.921,4,.85,0.211,3.57,28.00,38.20,RF
66,1189,72,Jun 22,CIN,@,TEX,L4-6,CG,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,.285,.336,.594,.930,4,.66,-0.004,0.35,14.00,18.40,RF
67,1190,73,Jun 23,CIN,,SDP,L4-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.281,.331,.585,.916,4,1.20,-0.115,-1.05,0.00,0.00,RF
68,1191,74,Jun 24,CIN,,SDP,L4-13,CG,4,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.280,.330,.580,.910,4,1.48,0.080,0.71,7.00,10.00,RF
69,1192,75,Jun 25,CIN,,SDP,L0-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.280,.329,.575,.903,4,.73,-0.022,-0.31,3.00,3.00,RF
70,1193,76,Jun 26,CIN,,SDP,W3-0,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.279,.328,.581,.909,4,.60,0.054,0.01,14.00,18.70,RF
71,1194,77,Jun 27,CIN,,CHC,L8-11,CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.278,.325,.574,.899,4,1.31,-0.038,-0.45,5.00,6.50,RF
72,1195,78,Jun 28,CIN,,CHC,L2-7,CG(15),6,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.275,.322,.565,.887,4,1.77,-0.025,-0.43,3.00,3.00,RF
73,1196,79,Jun 29,CIN,,CHC,L2-9,CG,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.279,.325,.568,.892,4,.62,-0.070,-0.57,8.00,9.00,RF
74,1197,80,Jun 30,CIN,@,WSN,L4-13,GS-6,3,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,.279,.325,.569,.893,4,.79,-0.078,-0.11,7.00,9.20,RF
Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
75,1198,81,Jul 1,CIN,@,WSN,L2-3,CG(14),6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.318,.557,.875,4,1.79,-0.240,-1.44,0.00,0.00,RF
76,1199,82,Jul 2,CIN,@,WSN,W9-4,CG(10),6,5,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.272,.319,.551,.870,3,.79,-0.042,-0.74,7.00,9.50,RF
77,1200,83,Jul 3,CIN,@,WSN,L1-12,GS-8,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.268,.315,.544,.858,4,.96,-0.088,-1.51,0.00,0.00,RF
